Mask,CIDR,Group
255.0.0.0,8,Default
255.255.0.0,16,Default
255.255.255.0,24,Default
0.0.0.0,0,/0 ~ /8
128.0.0.0,1,/0 ~ /8
192.0.0.0,2,/0 ~ /8
224.0.0.0,3,/0 ~ /8
240.0.0.0,4,/0 ~ /8
248.0.0.0,5,/0 ~ /8
252.0.0.0,6,/0 ~ /8
254.0.0.0,7,/0 ~ /8
255.0.0.0,8,/0 ~ /8
255.128.0.0,9,/9 ~ /16
255.192.0.0,10,/9 ~ /16
255.224.0.0,11,/9 ~ /16
255.240.0.0,12,/9 ~ /16
255.248.0.0,13,/9 ~ /16
255.252.0.0,14,/9 ~ /16
255.254.0.0,15,/9 ~ /16
255.255.0.0,16,/9 ~ /16
255.255.128.0,17,/17 ~ /24
255.255.192.0,18,/17 ~ /24
255.255.224.0,19,/17 ~ /24
255.255.240.0,20,/17 ~ /24
255.255.248.0,21,/17 ~ /24
255.255.252.0,22,/17 ~ /24
255.255.254.0,23,/17 ~ /24
255.255.255.0,24,/17 ~ /24
255.255.255.128,25,/25 ~ /32
255.255.255.192,26,/25 ~ /32
255.255.255.224,27,/25 ~ /32
255.255.255.240,28,/25 ~ /32
255.255.255.248,29,/25 ~ /32
255.255.255.252,30,/25 ~ /32
255.255.255.254,31,/25 ~ /32
255.255.255.255,32,/25 ~ /32
